state,county,puma12,puma2k,cntyname,PUMA12name,PUMA2kname,pop10
37,37129,4700,4000,New Hanover NC,New Hanover County (South)--Wilmington City,3704000,151695
37,37131,600,3500,Northampton NC,"Halifax, Hertford, Northampton & Warren (East) Counties",3703500,22099
37,37133,4100,4200,Onslow NC,"Lenoir, Onslow (North) & Jones Counties",3704200,39974
37,37133,4500,4200,Onslow NC,Onslow County (South)--Jacksonville City,3704200,137798
37,37135,1400,2900,Orange NC,Orange County--Chapel Hill Town,3702900,133801
37,37137,4400,4700,Pamlico NC,"Carteret, Beaufort & Pamlico Counties",3704700,13144
37,37139,700,4800,Pasquotank NC,Northeast Albemarle Sound Region,3704800,40661
37,37141,4600,4100,Pender NC,Pender & New Hanover (North) Counties,3704100,52217
37,37143,700,4800,Perquimans NC,Northeast Albemarle Sound Region,3704800,13453
37,37145,400,2400,Person NC,"Granville, Person & Caswell Counties",3702400,39464
37,37147,4200,4600,Pitt NC,Pitt County--Greenville City,3704600,168148
37,37149,2600,400,Polk NC,"Rutherford, Cleveland (West) & Polk Counties--Shelby City",3700400,20510
37,37151,3600,2000,Randolph NC,Randolph County,3702000,141752
37,37153,5200,3900,Richmond NC,"Hoke, Richmond & Scotland Counties",3703900,46639
37,37155,4900,3800,Robeson NC,"Columbus, Bladen & Robeson (East) Counties",3703800,13508
37,37155,5100,3800,Robeson NC,Robeson County (West)--Lumberton City,3703800,120660
37,37157,300,2400,Rockingham NC,Rockingham & Stokes Counties,3702400,93643
37,37159,3400,1200,Rowan NC,Rowan County,3701200,138428
37,37161,2600,400,Rutherford NC,"Rutherford, Cleveland (West) & Polk Counties--Shelby City",3700400,67810
37,37163,3900,3200,Sampson NC,Sampson & Duplin Counties,3703200,63431
37,37165,5200,3900,Scotland NC,"Hoke, Richmond & Scotland Counties",3703900,36157
37,37167,3300,2500,Stanly NC,Stanley & Cabarrus (East) Counties,3702500,60585
37,37169,300,2100,Stokes NC,Rockingham & Stokes Counties,3702100,47401
37,37171,200,600,Surry NC,"Wilkesboro High Country--Surry, Wilkes & Alleghany Counties",3700600,73673
37,37173,2300,100,Swain NC,"Haywood, Madison, Swain, Graham & Jackson (North) Counties",3700100,13981
37,37175,2500,300,Transylvania NC,Henderson & Transylvania Counties,3700300,33090
37,37177,800,4800,Tyrrell NC,South & West Albemarle Sound & Northern Outer Banks Regions,3704800,4407
37,37179,5300,1400,Union NC,Union (East) & Anson Counties--Monroe City,3701400,89897
37,37179,5400,1000,Union NC,Union County (West)--Indian Trail & Stallings Towns,3701000,6
37,37179,5400,1400,Union NC,Union County (West)--Indian Trail & Stallings Towns,3701400,111389
37,37181,500,3300,Vance NC,"Franklin, Vance & Warren (West) Counties",3703300,45422
37,37183,1201,2601,Wake NC,Raleigh City (South & Central),3702601,125008
37,37183,1201,2701,Wake NC,Raleigh City (South & Central),3702701,735
37,37183,1201,2702,Wake NC,Raleigh City (South & Central),3702702,6741
37,37183,1201,2703,Wake NC,Raleigh City (South & Central),3702703,62
37,37183,1202,2601,Wake NC,Raleigh City (North),3702601,10568
37,37183,1202,2602,Wake NC,Raleigh City (North),3702602,109606
37,37183,1202,2701,Wake NC,Raleigh City (North),3702701,23
37,37183,1202,2703,Wake NC,Raleigh City (North),3702703,5861
37,37183,1203,2602,Wake NC,"Wake County (Northeast)--Raleigh City (Northeast), Wake Forest & Rolesville Towns",3702602,27997
37,37183,1203,2703,Wake NC,"Wake County (Northeast)--Raleigh City (Northeast), Wake Forest & Rolesville Towns",3702703,73220
37,37183,1204,2601,Wake NC,"Wake County (East)--Raleigh City (East), Knightdale & Garner (North) Towns",3702601,8698
37,37183,1204,2602,Wake NC,"Wake County (East)--Raleigh City (East), Knightdale & Garner (North) Towns",3702602,12443
37,37183,1204,2702,Wake NC,"Wake County (East)--Raleigh City (East), Knightdale & Garner (North) Towns",3702702,22542
37,37183,1204,2703,Wake NC,"Wake County (East)--Raleigh City (East), Knightdale & Garner (North) Towns",3702703,65601
37,37183,1205,2601,Wake NC,Wake County (Southeast)--Garner (South) & Fuquay-Varina Towns,3702601,3062
37,37183,1205,2702,Wake NC,Wake County (Southeast)--Garner (South) & Fuquay-Varina Towns,3702702,100057
37,37183,1205,3000,Wake NC,Wake County (Southeast)--Garner (South) & Fuquay-Varina Towns,3703000,10
37,37183,1205,3100,Wake NC,Wake County (Southeast)--Garner (South) & Fuquay-Varina Towns,3703100,9
37,37183,1206,2602,Wake NC,Wake County (Northwest)--Raleigh City (Northwest) & Morrisville Town,3702602,26378
37,37183,1206,2701,Wake NC,Wake County (Northwest)--Raleigh City (Northwest) & Morrisville Town,3702701,21107
37,37183,1206,2703,Wake NC,Wake County (Northwest)--Raleigh City (Northwest) & Morrisville Town,3702703,55407
37,37183,1207,2601,Wake NC,Wake County (West Central)--Cary Town,3702601,5100
37,37183,1207,2701,Wake NC,Wake County (West Central)--Cary Town,3702701,120173
37,37183,1208,2701,Wake NC,Wake County (Southwest)--Apex & Holly Springs Towns,3702701,7799
37,37183,1208,2702,Wake NC,Wake County (Southwest)--Apex & Holly Springs Towns,3702702,92786
37,37185,500,3300,Warren NC,"Franklin, Vance & Warren (West) Counties",3703300,14813
37,37185,600,3300,Warren NC,"Halifax, Hertford, Northampton & Warren (East) Counties",3703300,6159
37,37187,800,4800,Washington NC,South & West Albemarle Sound & Northern Outer Banks Regions,3704800,13228
37,37189,100,500,Watauga NC,"Boone High Country--Watauga, Ashe, Yancey, Avery & Mitchell Counties",3700500,51047
37,37189,100,600,Watauga NC,"Boone High Country--Watauga, Ashe, Yancey, Avery & Mitchell Counties",3700600,32
37,37191,4000,4300,Wayne NC,Wayne County,3704300,122623
37,37193,200,600,Wilkes NC,"Wilkesboro High Country--Surry, Wilkes & Alleghany Counties",3700600,69340
37,37195,1000,4400,Wilson NC,Wilson & Greene Counties--Wilson City,3704400,81234
37,37197,1900,2100,Yadkin NC,"Davie, Yadkin & Iredell (North) Counties",3702100,38406
37,37199,100,500,Yancey NC,"Boone High Country--Watauga, Ashe, Yancey, Avery & Mitchell Counties",3700500,17818
